removal_fraction,mean_lcc_size,lcc_size,attack_strategy
0.0,1.0,1.0,betweenness
0.02,0.35133333333333333,0.35133333333333333,betweenness
0.04,0.24266666666666667,0.24266666666666667,betweenness
0.06,0.17733333333333334,0.17733333333333334,betweenness
0.08,0.10133333333333333,0.10133333333333333,betweenness
0.1,0.014666666666666666,0.014666666666666666,betweenness
0.12,0.011333333333333334,0.011333333333333334,betweenness
0.14,0.009333333333333334,0.009333333333333334,betweenness
0.16,0.004666666666666667,0.004666666666666667,betweenness
0.18,0.004666666666666667,0.004666666666666667,betweenness
0.2,0.004666666666666667,0.004666666666666667,betweenness
0.22,0.004666666666666667,0.004666666666666667,betweenness
0.24,0.004666666666666667,0.004666666666666667,betweenness
0.26,0.004666666666666667,0.004666666666666667,betweenness
0.28,0.0033333333333333335,0.0033333333333333335,betweenness
0.3,0.0013333333333333333,0.0013333333333333333,betweenness
0.32,0.0013333333333333333,0.0013333333333333333,betweenness
0.34,0.0013333333333333333,0.0013333333333333333,betweenness
0.36,0.0013333333333333333,0.0013333333333333333,betweenness
0.38,0.0013333333333333333,0.0013333333333333333,betweenness
0.4,0.0013333333333333333,0.0013333333333333333,betweenness
0.42,0.0013333333333333333,0.0013333333333333333,betweenness
0.44,0.0013333333333333333,0.0013333333333333333,betweenness
0.46,0.0013333333333333333,0.0013333333333333333,betweenness
0.48,0.0013333333333333333,0.0013333333333333333,betweenness
0.5,0.0013333333333333333,0.0013333333333333333,betweenness
0.52,0.0013333333333333333,0.0013333333333333333,betweenness
0.54,0.0013333333333333333,0.0013333333333333333,betweenness
0.56,0.0013333333333333333,0.0013333333333333333,betweenness
0.58,0.0013333333333333333,0.0013333333333333333,betweenness
0.6,0.0013333333333333333,0.0013333333333333333,betweenness
0.62,0.0013333333333333333,0.0013333333333333333,betweenness
0.64,0.0013333333333333333,0.0013333333333333333,betweenness
0.66,0.0013333333333333333,0.0013333333333333333,betweenness
0.68,0.0013333333333333333,0.0013333333333333333,betweenness
0.7,0.0013333333333333333,0.0013333333333333333,betweenness
0.72,0.0013333333333333333,0.0013333333333333333,betweenness
0.74,0.0013333333333333333,0.0013333333333333333,betweenness
0.76,0.0013333333333333333,0.0013333333333333333,betweenness
0.78,0.0013333333333333333,0.0013333333333333333,betweenness
0.8,0.0013333333333333333,0.0013333333333333333,betweenness
0.82,0.0013333333333333333,0.0013333333333333333,betweenness
0.84,0.0013333333333333333,0.0013333333333333333,betweenness
0.86,0.0013333333333333333,0.0013333333333333333,betweenness
0.88,0.0013333333333333333,0.0013333333333333333,betweenness
0.9,0.0013333333333333333,0.0013333333333333333,betweenness
0.92,0.0013333333333333333,0.0013333333333333333,betweenness
0.94,0.0006666666666666666,0.0006666666666666666,betweenness
0.96,0.0006666666666666666,0.0006666666666666666,betweenness
0.98,0.0006666666666666666,0.0006666666666666666,betweenness
1.0,0.0,0.0,betweenness
